embedding_name,clue,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19
gloveWithHeuristicsTrial0,station,grass,scientist,drill,star,ray,oil,brush,cell,cycle,paste,flute,sink,octopus,knight,tower,server,mug,nurse,train,water
gloveWithHeuristicsTrial1,july,millionaire,contract,march,bug,himalayas,fire,jack,ray,pipe,piano,kid,jet,knight,olympus,rose,root,nut,comic,parachute,space
gloveWithHeuristicsTrial2,vehicles,fan,car,whip,pistol,bug,fire,phoenix,bison,ice,needle,heart,row,shoe,moon,spider,africa,tower,tag,mammoth,fish
gloveWithHeuristicsTrial3,important,millionaire,air,mint,car,luck,hole,straw,kid,needle,duck,engine,king,spider,cliff,well,key,knight,post,ham,carrot
gloveWithHeuristicsTrial4,resort,bark,alps,luck,pit,fish,scale,oil,compound,pool,shop,scorpion,knight,tap,fighter,hotel,rose,nut,comic,school,club
gloveWithHeuristicsTrial5,cancer,whale,giant,calf,bottle,disease,needle,heart,vacuum,lab,engine,spider,jet,robot,ruler,state,bill,worm,ivory,parachute,space
gloveWithHeuristicsTrial6,feet,foot,belt,fire,kiwi,phoenix,spot,nail,vacuum,doctor,dwarf,racket,cell,cliff,suit,well,fork,diamond,mug,beach,pan
gloveWithHeuristicsTrial7,deal,contract,plate,olive,star,pyramid,phoenix,oil,brush,bar,roulette,kangaroo,litter,olympus,tap,opera,cotton,stream,satellite,school,ivory
gloveWithHeuristicsTrial8,ankle,contract,olive,scientist,himalayas,scale,spot,calf,nail,bottle,needle,pool,torch,cycle,paste,litter,game,death,amazon,india,fish
gloveWithHeuristicsTrial9,airliner,crown,cold,mint,himalayas,star,casino,spot,oil,disease,cloak,play,circle,mount,cliff,conductor,scorpion,jet,fork,mammoth,pan
fasttextWithHeuristicsTrial0,station,grass,scientist,drill,star,ray,oil,brush,cell,cycle,paste,flute,sink,octopus,knight,tower,server,mug,nurse,train,water
fasttextWithHeuristicsTrial1,problem,millionaire,contract,march,bug,himalayas,fire,jack,ray,pipe,piano,kid,jet,knight,olympus,rose,root,nut,comic,parachute,space
fasttextWithHeuristicsTrial2,insect,fan,car,whip,pistol,bug,fire,phoenix,bison,ice,needle,heart,row,shoe,moon,spider,africa,tower,tag,mammoth,fish
fasttextWithHeuristicsTrial3,important,millionaire,air,mint,car,luck,hole,straw,kid,needle,duck,engine,king,spider,cliff,well,key,knight,post,ham,carrot
fasttextWithHeuristicsTrial4,restaurant,bark,alps,luck,pit,fish,scale,oil,compound,pool,shop,scorpion,knight,tap,fighter,hotel,rose,nut,comic,school,club
fasttextWithHeuristicsTrial5,virus,whale,giant,calf,bottle,disease,needle,heart,vacuum,lab,engine,spider,jet,robot,ruler,state,bill,worm,ivory,parachute,space
fasttextWithHeuristicsTrial6,shore,foot,belt,fire,kiwi,phoenix,spot,nail,vacuum,doctor,dwarf,racket,cell,cliff,suit,well,fork,diamond,mug,beach,pan
fasttextWithHeuristicsTrial7,trash,contract,plate,olive,star,pyramid,phoenix,oil,brush,bar,roulette,kangaroo,litter,olympus,tap,opera,cotton,stream,satellite,school,ivory
fasttextWithHeuristicsTrial8,brazil,contract,olive,scientist,himalayas,scale,spot,calf,nail,bottle,needle,pool,torch,cycle,paste,litter,game,death,amazon,india,fish
fasttextWithHeuristicsTrial9,plane,crown,cold,mint,himalayas,star,casino,spot,oil,disease,cloak,play,circle,mount,cliff,conductor,scorpion,jet,fork,mammoth,pan
babelnetWithHeuristicsTrial0,develop,grass,scientist,drill,star,ray,oil,brush,cell,cycle,paste,flute,sink,octopus,knight,tower,server,mug,nurse,train,water
babelnetWithHeuristicsTrial1,plants,millionaire,contract,march,bug,himalayas,fire,jack,ray,pipe,piano,kid,jet,knight,olympus,rose,root,nut,comic,parachute,space
babelnetWithHeuristicsTrial2,group,fan,car,whip,pistol,bug,fire,phoenix,bison,ice,needle,heart,row,shoe,moon,spider,africa,tower,tag,mammoth,fish
babelnetWithHeuristicsTrial3,water,millionaire,air,mint,car,luck,hole,straw,kid,needle,duck,engine,king,spider,cliff,well,key,knight,post,ham,carrot
babelnetWithHeuristicsTrial4,military,bark,alps,luck,pit,fish,scale,oil,compound,pool,shop,scorpion,knight,tap,fighter,hotel,rose,nut,comic,school,club
babelnetWithHeuristicsTrial5,system,whale,giant,calf,bottle,disease,needle,heart,vacuum,lab,engine,spider,jet,robot,ruler,state,bill,worm,ivory,parachute,space
babelnetWithHeuristicsTrial6,handle,foot,belt,fire,kiwi,phoenix,spot,nail,vacuum,doctor,dwarf,racket,cell,cliff,suit,well,fork,diamond,mug,beach,pan
babelnetWithHeuristicsTrial7,legal,contract,plate,olive,star,pyramid,phoenix,oil,brush,bar,roulette,kangaroo,litter,olympus,tap,opera,cotton,stream,satellite,school,ivory
