embedding_name,configuration,clue,word0ForClue,word1ForClue,blueWord0,blueWord1,blueWord2,blueWord3,blueWord4,blueWord5,blueWord6,blueWord7,blueWord8,blueWord9,redWord0,redWord1,redWord2,redWord3,redWord4,redWord5,redWord6,redWord7,redWord8,redWord9
word2vecWithHeuristicsTrial0,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",researcher,scientist,robot,mammoth,scientist,greece,contract,chest,round,row,robot,field,antarctica,key,hole,ray,train,mercury,draft,africa,india,unicorn,flute
word2vecWithHeuristicsTrial1,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",dolphin,whale,shark,death,march,whale,cold,tower,oil,shadow,snowman,shark,vacuum,lemon,scientist,litter,change,chest,lock,bark,root,box,shoe
word2vecWithHeuristicsTrial2,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",dog,cat,bark,suit,amazon,pyramid,cat,kid,fan,bark,mug,dwarf,thumb,witch,jack,opera,diamond,air,cricket,india,plate,vacuum,turkey
word2vecWithHeuristicsTrial3,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",otter,robin,shark,millionaire,watch,cycle,grass,tag,racket,dance,robin,table,shark,sink,lemon,pipe,play,staff,lock,glass,mint,lead,air
word2vecWithHeuristicsTrial4,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",nz,kiwi,australia,foot,board,swing,ghost,staff,kiwi,australia,ice,cross,shark,change,scientist,torch,pool,giant,ruler,carrot,compound,dwarf,straw
word2vecWithHeuristicsTrial5,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",pear,olive,lemon,pound,olive,lemon,whale,worm,roulette,robot,string,table,shoe,sink,figure,change,scale,pyramid,staff,ivory,cat,jupiter,india
word2vecWithHeuristicsTrial6,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",membrane,tube,cell,ham,fall,olive,pit,tube,cast,egypt,cell,dwarf,bottle,saturn,foot,conductor,pan,mint,fork,oil,alps,bark,lab
word2vecWithHeuristicsTrial7,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",heel,calf,shoe,death,star,octopus,pit,green,round,calf,alps,shoe,turkey,well,engine,piano,tap,ice,bill,robin,pan,thumb,straw
word2vecWithHeuristicsTrial8,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",raven,robin,unicorn,moon,luck,lock,chest,egypt,mercury,diamond,robin,unicorn,beach,suit,tube,whip,tag,kangaroo,string,server,field,soul,root
word2vecWithHeuristicsTrial9,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",dolphin,whale,shark,figure,pitch,hole,fighter,whale,lead,mug,table,shark,antarctica,saturn,suit,phoenix,swing,tower,shop,tie,field,unicorn,beach
