embedding_name,clue,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19
word2vecWithHeuristicsTrial0,researcher,mammoth,scientist,contract,round,mercury,robot,africa,field,india,unicorn,antarctica,flute,key,hole,ray,greece,chest,row,train,draft
word2vecWithHeuristicsTrial1,dolphin,march,lemon,scientist,litter,tower,oil,box,shoe,death,change,whale,cold,chest,lock,shadow,snowman,bark,root,shark,vacuum
word2vecWithHeuristicsTrial2,dog,witch,jack,pyramid,diamond,cat,india,plate,turkey,suit,amazon,opera,air,fan,bark,mug,cricket,thumb,dwarf,kid,vacuum
word2vecWithHeuristicsTrial3,otter,sink,millionaire,lemon,pipe,cycle,staff,racket,glass,lead,robin,watch,play,grass,tag,lock,mint,dance,air,table,shark
word2vecWithHeuristicsTrial4,nz,foot,scientist,torch,board,ghost,staff,australia,compound,cross,change,pool,swing,giant,kiwi,ruler,carrot,ice,shark,dwarf,straw
word2vecWithHeuristicsTrial5,pear,sink,figure,olive,lemon,scale,pyramid,staff,roulette,robot,cat,india,shoe,pound,change,whale,ivory,worm,string,jupiter,table
word2vecWithHeuristicsTrial6,membrane,ham,fall,olive,foot,tube,cast,egypt,oil,lab,bottle,saturn,pit,conductor,mint,fork,alps,bark,cell,pan,dwarf
word2vecWithHeuristicsTrial7,heel,star,octopus,well,green,round,piano,calf,tap,robin,bill,shoe,turkey,death,pit,engine,alps,ice,pan,thumb,straw
word2vecWithHeuristicsTrial8,raven,tube,whip,egypt,mercury,diamond,kangaroo,robin,field,unicorn,moon,luck,suit,tag,lock,chest,string,server,root,soul,beach
word2vecWithHeuristicsTrial9,dolphin,figure,fighter,phoenix,tower,shop,lead,field,unicorn,antarctica,saturn,suit,pitch,hole,whale,swing,tie,mug,table,shark,beach
babelnetWithHeuristicsTrial0,sport,mammoth,scientist,contract,round,mercury,robot,africa,field,india,unicorn,antarctica,flute,key,hole,ray,greece,chest,row,train,draft
babelnetWithHeuristicsTrial1,someone,march,lemon,scientist,litter,tower,oil,box,shoe,death,change,whale,cold,chest,lock,shadow,snowman,bark,root,shark,vacuum
babelnetWithHeuristicsTrial2,business,witch,jack,pyramid,diamond,cat,india,plate,turkey,suit,amazon,opera,air,fan,bark,mug,cricket,thumb,dwarf,kid,vacuum
babelnetWithHeuristicsTrial3,person,sink,millionaire,lemon,pipe,cycle,staff,racket,glass,lead,robin,watch,play,grass,tag,lock,mint,dance,air,table,shark
babelnetWithHeuristicsTrial4,unit,foot,scientist,torch,board,ghost,staff,australia,compound,cross,change,pool,swing,giant,kiwi,ruler,carrot,ice,shark,dwarf,straw
babelnetWithHeuristicsTrial5,fruit,sink,figure,olive,lemon,scale,pyramid,staff,roulette,robot,cat,india,shoe,pound,change,whale,ivory,worm,string,jupiter,table
babelnetWithHeuristicsTrial6,fruit,ham,fall,olive,foot,tube,cast,egypt,oil,lab,bottle,saturn,pit,conductor,mint,fork,alps,bark,cell,pan,dwarf
babelnetWithHeuristicsTrial7,common,star,octopus,well,green,round,piano,calf,tap,robin,bill,shoe,turkey,death,pit,engine,alps,ice,pan,thumb,straw
babelnetWithHeuristicsTrial8,cabinet,tube,whip,egypt,mercury,diamond,kangaroo,robin,field,unicorn,moon,luck,suit,tag,lock,chest,string,server,root,soul,beach
babelnetWithHeuristicsTrial9,entity,figure,fighter,phoenix,tower,shop,lead,field,unicorn,antarctica,saturn,suit,pitch,hole,whale,swing,tie,mug,table,shark,beach
fasttextWithHeuristicsTrial0,science,mammoth,scientist,contract,round,mercury,robot,africa,field,india,unicorn,antarctica,flute,key,hole,ray,greece,chest,row,train,draft
fasttextWithHeuristicsTrial1,dolphin,march,lemon,scientist,litter,tower,oil,box,shoe,death,change,whale,cold,chest,lock,shadow,snowman,bark,root,shark,vacuum
fasttextWithHeuristicsTrial2,dog,witch,jack,pyramid,diamond,cat,india,plate,turkey,suit,amazon,opera,air,fan,bark,mug,cricket,thumb,dwarf,kid,vacuum
fasttextWithHeuristicsTrial3,template,sink,millionaire,lemon,pipe,cycle,staff,racket,glass,lead,robin,watch,play,grass,tag,lock,mint,dance,air,table,shark
fasttextWithHeuristicsTrial4,nz,foot,scientist,torch,board,ghost,staff,australia,compound,cross,change,pool,swing,giant,kiwi,ruler,carrot,ice,shark,dwarf,straw
fasttextWithHeuristicsTrial5,citrus,sink,figure,olive,lemon,scale,pyramid,staff,roulette,robot,cat,india,shoe,pound,change,whale,ivory,worm,string,jupiter,table
fasttextWithHeuristicsTrial6,flask,ham,fall,olive,foot,tube,cast,egypt,oil,lab,bottle,saturn,pit,conductor,mint,fork,alps,bark,cell,pan,dwarf
fasttextWithHeuristicsTrial7,lamb,star,octopus,well,green,round,piano,calf,tap,robin,bill,shoe,turkey,death,pit,engine,alps,ice,pan,thumb,straw
fasttextWithHeuristicsTrial8,sea,tube,whip,egypt,mercury,diamond,kangaroo,robin,field,unicorn,moon,luck,suit,tag,lock,chest,string,server,root,soul,beach
fasttextWithHeuristicsTrial9,fish,figure,fighter,phoenix,tower,shop,lead,field,unicorn,antarctica,saturn,suit,pitch,hole,whale,swing,tie,mug,table,shark,beach
bertWithHeuristicsTrial0,needs,mammoth,scientist,contract,round,mercury,robot,africa,field,india,unicorn,antarctica,flute,key,hole,ray,greece,chest,row,train,draft
bertWithHeuristicsTrial1,business,march,lemon,scientist,litter,tower,oil,box,shoe,death,change,whale,cold,chest,lock,shadow,snowman,bark,root,shark,vacuum
bertWithHeuristicsTrial2,expected,witch,jack,pyramid,diamond,cat,india,plate,turkey,suit,amazon,opera,air,fan,bark,mug,cricket,thumb,dwarf,kid,vacuum
